Date,EONIA_ESTR
2014-10-21,-0.07300000000000001
2014-10-22,-0.068
2014-10-23,-0.07100000000000001
2014-10-24,-0.067
2014-10-27,-0.07200000000000001
2014-10-28,-0.07500000000000001
2014-10-29,-0.079
2014-10-30,-0.083
2014-10-31,-0.0030000000000000027
2014-11-03,-0.12000000000000001
2014-11-04,-0.124
2014-11-05,-0.127
2014-11-06,-0.122
2014-11-07,-0.123
2014-11-10,-0.117
2014-11-11,-0.121
2014-11-12,-0.112
2014-11-13,-0.113
2014-11-14,-0.114
2014-11-17,-0.112
2014-11-18,-0.10700000000000001
2014-11-19,-0.10800000000000001
2014-11-20,-0.10400000000000001
2014-11-21,-0.096
2014-11-24,-0.09100000000000001
2014-11-25,-0.068
2014-11-26,-0.03900000000000001
2014-11-27,-0.05600000000000001
2014-11-28,0.043
2014-12-01,-0.09200000000000001
2014-12-02,-0.11000000000000001
2014-12-03,-0.10800000000000001
2014-12-04,-0.121
2014-12-05,-0.123
2014-12-08,-0.137
2014-12-09,-0.125
2014-12-10,-0.11000000000000001
2014-12-11,-0.099
2014-12-12,-0.10600000000000001
2014-12-15,-0.101
2014-12-16,-0.10400000000000001
2014-12-17,-0.111
2014-12-18,-0.115
2014-12-19,-0.14
2014-12-22,-0.136
2014-12-23,-0.162
2014-12-24,-0.17
2014-12-29,-0.14500000000000002
2014-12-30,-0.162
2014-12-31,0.05899999999999998
2015-01-02,-0.164
2015-01-05,-0.159
2015-01-06,-0.16
2015-01-07,-0.15400000000000003
2015-01-08,-0.15500000000000003
2015-01-09,-0.132
2015-01-12,-0.14800000000000002
2015-01-13,-0.15400000000000003
2015-01-14,-0.15200000000000002
2015-01-15,-0.15200000000000002
2015-01-16,-0.166
2015-01-19,-0.16
2015-01-20,-0.166
2015-01-21,-0.15300000000000002
2015-01-22,-0.121
2015-01-23,-0.10400000000000001
2015-01-26,-0.11800000000000001
2015-01-27,-0.10400000000000001
2015-01-28,-0.114
2015-01-29,-0.113
2015-01-30,0.000999999999999987
2015-02-02,-0.10900000000000001
2015-02-03,-0.11900000000000001
2015-02-04,-0.122
2015-02-05,-0.111
2015-02-06,-0.122
2015-02-09,-0.127
2015-02-10,-0.126
2015-02-11,-0.133
2015-02-12,-0.13
2015-02-13,-0.131
2015-02-16,-0.134
2015-02-17,-0.125
2015-02-18,-0.123
2015-02-19,-0.11900000000000001
2015-02-20,-0.128
2015-02-23,-0.129
2015-02-24,-0.133
2015-02-25,-0.131
2015-02-26,-0.14700000000000002
2015-02-27,-0.021000000000000005
2015-03-02,-0.14
2015-03-03,-0.14800000000000002
2015-03-04,-0.14500000000000002
2015-03-05,-0.14100000000000001
2015-03-06,-0.14900000000000002
2015-03-09,-0.14900000000000002
2015-03-10,-0.14900000000000002
2015-03-11,-0.14
2015-03-12,-0.14
2015-03-13,-0.125
2015-03-16,-0.14300000000000002
2015-03-17,-0.126
2015-03-18,-0.14200000000000002
2015-03-19,-0.125
2015-03-20,-0.14
2015-03-23,-0.133
2015-03-24,-0.14400000000000002
2015-03-25,-0.14800000000000002
2015-03-26,-0.14300000000000002
2015-03-27,-0.138
2015-03-30,-0.135
2015-03-31,-0.035
2015-04-01,-0.15500000000000003
2015-04-02,-0.164
2015-04-07,-0.165
2015-04-08,-0.159
2015-04-09,-0.14100000000000001
2015-04-10,-0.15500000000000003
2015-04-13,-0.157
2015-04-14,-0.174
2015-04-15,-0.159
2015-04-16,-0.178
2015-04-17,-0.158
2015-04-20,-0.164
2015-04-21,-0.169
2015-04-22,-0.162
2015-04-23,-0.165
2015-04-24,-0.166
2015-04-27,-0.166
2015-04-28,-0.164
2015-04-29,-0.157
2015-04-30,-0.112
2015-05-04,-0.169
2015-05-05,-0.17
2015-05-06,-0.173
2015-05-07,-0.174
2015-05-08,-0.172
2015-05-11,-0.174
2015-05-12,-0.176
2015-05-13,-0.22200000000000003
2015-05-14,-0.22799999999999998
2015-05-15,-0.195
2015-05-18,-0.19
2015-05-19,-0.191
2015-05-20,-0.19
2015-05-21,-0.191
2015-05-22,-0.22500000000000003
2015-05-25,-0.22799999999999998
2015-05-26,-0.194
2015-05-27,-0.199
2015-05-28,-0.189
2015-05-29,-0.165
2015-06-01,-0.191
2015-06-02,-0.20700000000000002
2015-06-03,-0.22799999999999998
2015-06-04,-0.22300000000000003
2015-06-05,-0.2
2015-06-08,-0.21200000000000002
2015-06-09,-0.21100000000000002
2015-06-10,-0.202
2015-06-11,-0.20500000000000002
2015-06-12,-0.21000000000000002
2015-06-15,-0.20400000000000001
2015-06-16,-0.21000000000000002
2015-06-17,-0.195
2015-06-18,-0.203
2015-06-19,-0.20500000000000002
2015-06-22,-0.21200000000000002
2015-06-23,-0.20600000000000002
2015-06-24,-0.196
2015-06-25,-0.201
2015-06-26,-0.20800000000000002
2015-06-29,-0.203
2015-06-30,-0.14500000000000002
2015-07-01,-0.20800000000000002
2015-07-02,-0.20600000000000002
2015-07-03,-0.201
2015-07-06,-0.20700000000000002
2015-07-07,-0.20500000000000002
2015-07-08,-0.203
2015-07-09,-0.20600000000000002
2015-07-10,-0.20500000000000002
2015-07-13,-0.203
2015-07-14,-0.197
2015-07-15,-0.20700000000000002
2015-07-16,-0.20900000000000002
2015-07-17,-0.20700000000000002
2015-07-20,-0.201
2015-07-21,-0.20600000000000002
2015-07-22,-0.20500000000000002
2015-07-23,-0.2
2015-07-24,-0.199
2015-07-27,-0.202
2015-07-28,-0.199
2015-07-29,-0.198
2015-07-30,-0.201
2015-07-31,-0.187
2015-08-03,-0.193
2015-08-04,-0.195
2015-08-05,-0.193
2015-08-06,-0.201
2015-08-07,-0.20400000000000001
2015-08-10,-0.21400000000000002
2015-08-11,-0.202
2015-08-12,-0.20900000000000002
2015-08-13,-0.21400000000000002
2015-08-14,-0.21500000000000002
2015-08-17,-0.20700000000000002
2015-08-18,-0.21100000000000002
2015-08-19,-0.20400000000000001
2015-08-20,-0.203
2015-08-21,-0.20400000000000001
2015-08-24,-0.21100000000000002
2015-08-25,-0.22000000000000003
2015-08-26,-0.21400000000000002
2015-08-27,-0.21200000000000002
2015-08-28,-0.21100000000000002
2015-08-31,-0.195
2015-09-01,-0.21000000000000002
2015-09-02,-0.21000000000000002
2015-09-03,-0.20900000000000002
2015-09-04,-0.21800000000000003
2015-09-07,-0.22100000000000003
2015-09-08,-0.21900000000000003
2015-09-09,-0.21500000000000002
2015-09-10,-0.21700000000000003
2015-09-11,-0.21500000000000002
2015-09-14,-0.22500000000000003
2015-09-15,-0.22699999999999998
2015-09-16,-0.22100000000000003
2015-09-17,-0.22300000000000003
2015-09-18,-0.22599999999999998
2015-09-21,-0.22999999999999998
2015-09-22,-0.22699999999999998
2015-09-23,-0.22799999999999998
2015-09-24,-0.22799999999999998
2015-09-25,-0.22799999999999998
2015-09-28,-0.23099999999999998
2015-09-29,-0.22000000000000003
2015-09-30,-0.20700000000000002
2015-10-01,-0.22699999999999998
2015-10-02,-0.22400000000000003
2015-10-05,-0.22899999999999998
2015-10-06,-0.21900000000000003
2015-10-07,-0.22400000000000003
2015-10-08,-0.22300000000000003
2015-10-09,-0.22699999999999998
2015-10-12,-0.21900000000000003
2015-10-13,-0.22100000000000003
2015-10-14,-0.22000000000000003
2015-10-15,-0.22799999999999998
2015-10-16,-0.22699999999999998
2015-10-19,-0.22699999999999998
2015-10-20,-0.22400000000000003
2015-10-21,-0.22100000000000003
2015-10-22,-0.22400000000000003
2015-10-23,-0.21900000000000003
2015-10-26,-0.22899999999999998
2015-10-27,-0.22200000000000003
2015-10-28,-0.22999999999999998
2015-10-29,-0.22799999999999998
2015-10-30,-0.21400000000000002
2015-11-02,-0.21400000000000002
2015-11-03,-0.21900000000000003
2015-11-04,-0.21500000000000002
2015-11-05,-0.21400000000000002
2015-11-06,-0.22300000000000003
2015-11-09,-0.22999999999999998
2015-11-10,-0.22400000000000003
2015-11-11,-0.21600000000000003
2015-11-12,-0.22300000000000003
2015-11-13,-0.21700000000000003
2015-11-16,-0.22300000000000003
2015-11-17,-0.21600000000000003
2015-11-18,-0.21400000000000002
2015-11-19,-0.22200000000000003
2015-11-20,-0.21800000000000003
2015-11-23,-0.22300000000000003
2015-11-24,-0.22400000000000003
2015-11-25,-0.21900000000000003
2015-11-26,-0.22400000000000003
2015-11-27,-0.22300000000000003
2015-11-30,-0.21200000000000002
2015-12-01,-0.21600000000000003
2015-12-02,-0.21700000000000003
2015-12-03,-0.22100000000000003
2015-12-04,-0.22300000000000003
2015-12-07,-0.22699999999999998
2015-12-08,-0.23199999999999998
2015-12-09,-0.32
2015-12-10,-0.317
2015-12-11,-0.316
2015-12-14,-0.315
2015-12-15,-0.324
2015-12-16,-0.326
2015-12-17,-0.323
2015-12-18,-0.322
2015-12-21,-0.316
2015-12-22,-0.316
2015-12-23,-0.319
2015-12-24,-0.329
2015-12-28,-0.323
2015-12-29,-0.308
2015-12-30,-0.22500000000000003
2015-12-31,-0.21200000000000002
2016-01-04,-0.326
2016-01-05,-0.336
2016-01-06,-0.338
2016-01-07,-0.318
2016-01-08,-0.32
2016-01-11,-0.321
2016-01-12,-0.318
2016-01-13,-0.322
2016-01-14,-0.325
2016-01-15,-0.324
2016-01-18,-0.325
2016-01-19,-0.324
2016-01-20,-0.323
2016-01-21,-0.325
2016-01-22,-0.326
2016-01-25,-0.323
2016-01-26,-0.321
2016-01-27,-0.322
2016-01-28,-0.324
2016-01-29,-0.313
2016-02-01,-0.322
2016-02-02,-0.317
2016-02-03,-0.332
2016-02-04,-0.316
2016-02-05,-0.321
2016-02-08,-0.327
2016-02-09,-0.322
2016-02-10,-0.322
2016-02-11,-0.324
2016-02-12,-0.325
2016-02-15,-0.328
2016-02-16,-0.327
2016-02-17,-0.329
2016-02-18,-0.329
2016-02-19,-0.328
2016-02-22,-0.327
2016-02-23,-0.331
2016-02-24,-0.332
2016-02-25,-0.334
2016-02-26,-0.328
2016-02-29,-0.312
2016-03-01,-0.323
2016-03-02,-0.319
2016-03-03,-0.323
2016-03-04,-0.321
2016-03-07,-0.324
2016-03-08,-0.319
2016-03-09,-0.321
2016-03-10,-0.327
2016-03-11,-0.327
2016-03-14,-0.328
2016-03-15,-0.333
2016-03-16,-0.42400000000000004
2016-03-17,-0.432
2016-03-18,-0.43
2016-03-21,-0.43
2016-03-22,-0.429
2016-03-23,-0.431
2016-03-24,-0.434
2016-03-29,-0.432
2016-03-30,-0.432
2016-03-31,-0.388
2016-04-01,-0.42000000000000004
2016-04-04,-0.41600000000000004
2016-04-05,-0.41700000000000004
2016-04-06,-0.41900000000000004
2016-04-07,-0.41500000000000004
